time	V(n001)
1.602815957260526e-001	2.650517e-001
1.603556278318588e-001	3.344745e-001
1.604652311614002e-001	4.369106e-001
1.606512254039023e-001	6.094928e-001
1.610232138889065e-001	9.478339e-001
1.614893863072787e-001	1.353051e+000
1.620840808747887e-001	1.826843e+000
1.631897043547324e-001	2.527771e+000
1.638232151385225e-001	2.797310e+000
1.642200121291974e-001	2.910383e+000
1.645232813931185e-001	2.966418e+000
1.648997253940450e-001	2.998512e+000
1.652627193668394e-001	2.989788e+000
1.657276034621057e-001	2.921965e+000
1.664807994008350e-001	2.681186e+000
1.676780147619333e-001	1.999431e+000
1.687118231470865e-001	1.181209e+000
1.693481924634228e-001	6.100299e-001
1.697037608586721e-001	2.787960e-001
1.697386679670941e-001	2.460230e-001
1.698084821839382e-001	1.803924e-001
1.698660162653790e-001	1.262394e-001
1.699146994694570e-001	8.038423e-002
1.699477449476063e-001	4.924702e-002
1.699740296669692e-001	2.447619e-002
1.699959674910344e-001	3.800549e-003
1.700168326289099e-001	-1.586431e-002
1.700360779536690e-001	-3.400194e-002
1.700573999826500e-001	-5.409528e-002
1.700805489610229e-001	-7.590751e-002
1.701048034536550e-001	-9.875708e-002
1.701299521299397e-001	-1.224430e-001
1.701556534562260e-001	-1.466415e-001
1.701818480919545e-001	-1.712946e-001
1.702085749216155e-001	-1.964366e-001
1.702360654944784e-001	-2.222826e-001
1.702648126236192e-001	-2.492922e-001
1.702957911849874e-001	-2.783756e-001
1.703310077488028e-001	-3.114055e-001
1.703755502289684e-001	-3.531272e-001
1.704472905186019e-001	-4.201754e-001
1.705350983519242e-001	-5.019463e-001
1.706282543106965e-001	-5.882788e-001
1.707529192765197e-001	-7.030112e-001
1.709393227414649e-001	-8.724978e-001
1.712224564054380e-001	-1.124024e+000
1.716677140378237e-001	-1.500855e+000
1.723599735577460e-001	-2.025980e+000
1.729403253500739e-001	-2.393568e+000
1.735710820518982e-001	-2.702765e+000
1.740348608803841e-001	-2.863151e+000
1.743775666256205e-001	-2.942827e+000
1.747171343613921e-001	-2.988162e+000
1.751393479709118e-001	-2.997126e+000
1.755268749199360e-001	-2.958997e+000
1.761564106160095e-001	-2.804191e+000
1.771671267505968e-001	-2.331165e+000
1.787259921763268e-001	-1.168922e+000
1.791594038219610e-001	-7.830669e-001
1.794512436511226e-001	-5.146326e-001
1.795763199940470e-001	-3.981310e-001
1.796569969723663e-001	-3.226475e-001
1.797069770596035e-001	-2.757777e-001
1.797576846403945e-001	-2.281563e-001
1.797805147185279e-001	-2.066961e-001
1.798063000152860e-001	-1.824453e-001
1.798317894517069e-001	-1.584609e-001
1.798588408834232e-001	-1.329957e-001
1.798913113203185e-001	-1.024168e-001
1.799304371302009e-001	-6.555624e-002
1.799623391261591e-001	-3.549371e-002
1.799952171866406e-001	-4.507694e-003
1.800273324127315e-001	2.575988e-002
1.800579184150947e-001	5.458381e-002
1.800897449484745e-001	8.457141e-002
1.801295270391113e-001	1.220427e-001
1.801938159308933e-001	1.825544e-001
1.802668913330160e-001	2.512445e-001
1.803431097165672e-001	3.227474e-001
1.804448870160679e-001	4.179324e-001
1.806152344855778e-001	5.762413e-001
1.809453934631001e-001	8.779704e-001
1.814177887869726e-001	1.292488e+000
1.820851859340018e-001	1.827669e+000
1.830359813636521e-001	2.446828e+000
1.837219847850065e-001	2.761427e+000
1.841453180651212e-001	2.892505e+000
1.844604597206737e-001	2.957007e+000
1.848174675267045e-001	2.995069e+000
1.852320932161727e-001	2.992029e+000
1.856777925032676e-001	2.932245e+000
1.864004511395171e-001	2.714300e+000
1.875522661957534e-001	2.086204e+000
1.886537676165898e-001	1.231306e+000
1.893331068093780e-001	6.239439e-001
1.896980489146769e-001	2.841556e-001
1.897352441884271e-001	2.492389e-001
1.898096347359274e-001	1.793081e-001
1.898689730712937e-001	1.234551e-001
1.899167336214911e-001	7.846776e-002
1.899495066583575e-001	4.758686e-002
1.899755199474388e-001	2.307168e-002
1.899972739194382e-001	2.569270e-003
1.900180131590198e-001	-1.697691e-002
1.900371858061703e-001	-3.504600e-002
1.900587178594508e-001	-5.533714e-002
1.900818965868716e-001	-7.717720e-002
1.901062280707472e-001	-1.000990e-001
1.901314081007368e-001	-1.238140e-001
1.901571400049894e-001	-1.480408e-001
1.901833621496316e-001	-1.727192e-001
1.902101244363583e-001	-1.978938e-001
1.902376704815751e-001	-2.237911e-001
1.902665126854269e-001	-2.508889e-001
1.902976652901936e-001	-2.801342e-001
1.903332259222208e-001	-3.134847e-001
1.903786056489870e-001	-3.559867e-001
1.904536735333763e-001	-4.261311e-001
1.905434116032844e-001	-5.096692e-001
1.906374425721811e-001	-5.967680e-001
1.907662957291935e-001	-7.152609e-001
1.909598349842389e-001	-8.909763e-001
1.912538420116412e-001	-1.151395e+000
1.917173317800035e-001	-1.541162e+000
1.924351890141461e-001	-2.077692e+000
1.930294799763067e-001	-2.443278e+000
1.936767897124991e-001	-2.744503e+000
1.941121213590105e-001	-2.884047e+000
1.944355031507931e-001	-2.952948e+000
1.947871871102298e-001	-2.993298e+000
1.952208018003027e-001	-2.992785e+000
1.956594244305466e-001	-2.935854e+000
1.963707957464263e-001	-2.726086e+000
1.975057155313576e-001	-2.117508e+000
1.988574800326272e-001	-1.053827e+000
1.992544435547294e-001	-6.962632e-001
1.995081621175283e-001	-4.617040e-001
1.996128152144952e-001	-3.640139e-001
1.996813944210932e-001	-2.997775e-001
1.997476012621824e-001	-2.376310e-001
1.997759528241675e-001	-2.109852e-001
1.997972031480679e-001	-1.910022e-001
1.998195825280367e-001	-1.699484e-001
1.998442659799529e-001	-1.467173e-001
1.998707729978668e-001	-1.217601e-001
1.999027793685651e-001	-9.161404e-002
1.999412757905877e-001	-5.534313e-002
1.999729385218080e-001	-2.550454e-002
2.000072779338396e-001	6.859285e-003
2.000374455666870e-001	3.529080e-002
2.000683406742228e-001	6.440462e-002
2.001017854649601e-001	9.591419e-002
2.001467771416345e-001	1.382852e-001
2.002213340894726e-001	2.084344e-001
2.002993817013572e-001	2.817448e-001
2.003799685701355e-001	3.572621e-001
2.007216760144546e-001	6.743516e-001
2.011613528053693e-001	1.070427e+000
2.016249337602357e-001	1.465809e+000
2.025393202355949e-001	2.147362e+000
2.034400401900731e-001	2.646892e+000
2.041084247963024e-001	2.883086e+000
2.044327264356578e-001	2.952486e+000
2.047838218424583e-001	2.993084e+000
2.052195461936383e-001	2.992867e+000
2.056573817894759e-001	2.936250e+000
2.063674970336441e-001	2.727382e+000
2.075005329700951e-001	2.120965e+000
2.086318611128261e-001	1.250104e+000
2.093226064003367e-001	6.336205e-001
2.096953851909573e-001	2.866547e-001
2.097332702177289e-001	2.510928e-001
2.098090402712719e-001	1.798674e-001
2.098678756058081e-001	1.244886e-001
2.099156861245445e-001	7.945466e-002
2.099485457871094e-001	4.849234e-002
2.099746747458618e-001	2.386824e-002
2.099965209493785e-001	3.278927e-003
2.100173217012714e-001	-1.632524e-002
2.100365331322646e-001	-3.443091e-002
2.100579418462424e-001	-5.460589e-002
2.100811023071633e-001	-7.642885e-002
2.101053887526054e-001	-9.930842e-002
2.101305502663464e-001	-1.230062e-001
2.101562642090798e-001	-1.472164e-001
2.101824701167529e-001	-1.718799e-001
2.102092114257740e-001	-1.970352e-001
2.102367246036428e-001	-2.229021e-001
2.102655104268260e-001	-2.499476e-001
2.102965597486753e-001	-2.790968e-001
2.103319159564456e-001	-3.122568e-001
2.103767964665698e-001	-3.542935e-001
2.104498549960566e-001	-4.225684e-001
2.105383954244579e-001	-5.050097e-001
2.106318910689970e-001	-5.916395e-001
2.107582058553799e-001	-7.078539e-001
2.109474116092626e-001	-8.797891e-001
2.112348373788394e-001	-1.134835e+000
2.116872860857192e-001	-1.516798e+000
2.123897038930666e-001	-2.046557e+000
2.129756094461206e-001	-2.413468e+000
2.136129177721652e-001	-2.719643e+000
2.140653723817748e-001	-2.871606e+000
2.144004216871803e-001	-2.946936e+000
2.147447272725997e-001	-2.990358e+000
2.152049479868667e-001	-2.993784e+000
2.156336316500638e-001	-2.940758e+000
2.163291300690853e-001	-2.742245e+000
2.174401899833721e-001	-2.160803e+000
2.188200293483513e-001	-1.086800e+000
2.192232517775974e-001	-7.248241e-001
2.194863555212228e-001	-4.820004e-001
2.195981404683978e-001	-3.777384e-001
2.196705843527207e-001	-3.099130e-001
2.197287848839729e-001	-2.553051e-001
2.197634375759959e-001	-2.227497e-001
2.197852009396577e-001	-2.022897e-001
2.198097811460405e-001	-1.791704e-001
2.198342732535705e-001	-1.561232e-001
2.198599845056593e-001	-1.319189e-001
2.198907567343005e-001	-1.029391e-001
2.199273388580274e-001	-6.847557e-002
2.199584594652893e-001	-3.914992e-002
2.199915220510999e-001	-7.990269e-003
2.200238766567646e-001	2.250301e-002
2.200534350251981e-001	5.035896e-002
2.200851211683067e-001	8.021525e-002
2.201231380631857e-001	1.160259e-001
2.201817275363610e-001	1.711811e-001
2.202612979709254e-001	2.459911e-001
2.203334245568851e-001	3.136709e-001
2.204335963685914e-001	4.073923e-001
2.208931221011159e-001	8.307465e-001
2.213624036266157e-001	1.245188e+000
2.220837902409344e-001	1.826626e+000
2.230066945104239e-001	2.430754e+000
2.238589787382490e-001	2.809312e+000
2.242465080245060e-001	2.916340e+000
2.245562669797777e-001	2.970897e+000
